COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,SKF CANADA,9308,,,,,JOINT HUILE LÈV.S 0.937X1.62X0.25PO CRW1,SEAL OIL S.LIP 0.937X1.624X0.25IN CRW1,40/38,SKF CANADA / 9308,3411v1808.10,PROD,90012878,
361,3411,SKF CANADA,12350,,,,,JOINT HUILE LÈV.D 1.25X1.68X0.31PO CRWA1,SEAL OIL D.LIP 1.25X1.687X0.3125IN CRWA1,40/40,SKF CANADA / 12350,3411v1808.10,PROD,90012976,
361,3411,SKF CANADA,13535,,,,,JOINT HUILE LÈV.D 1.37X1.87X0.31PO CRWA1,SEAL OIL D.LIP 1.375X1.874X0.315IN CRWA1,40/40,SKF CANADA / 13535,3411v1808.10,PROD,90012975,
361,3411,SKF CANADA,27541,,,,,JOINT HUILE LÈV.S 2.75X4.0X4.375PO CRWH1,SEAL OIL S.LIP 2.75X4.003X4.375IN CRWH1,40/39,SKF CANADA / 27541,3411v1808.10,PROD,90012972,
361,3411,REXNORD CANADA LIMITED,058647,,,,,RLMT BILLE TAKE-UP 2.00PO LCK COLLAR SM,BRG BALL TAKE-UP 2.00IN LCK COLLAR SM,39/37,REXNORD CANADA LIMITED / 058647,3411v1808.10,PROD,90012861,
361,3411,Rexnord,0359834,,,,,HUB WFLEX 30R RSB 2.38PO 0.875X3.44PO AC,HUB WFLEX 30R RSB 2.38IN 0.875X3.44IN ST,40/40,REXNORD / 0359834,3411v1808.10,PROD,90012875,
361,3411,Falk,436990,90012874,,,,COUVERT NYLON 30R FALK 436990,COVER NYLON 30R FALK 436990,29/27,FALK / 436990,3411v1808.10,PROD,90012874,
361,3411,Rexnord,0789351,90014074,,,,HUB WFLEX 30R HSB 2.28PO 1.75X4.13PO AC,HUB WFLEX 30R HSB 2.28IN 1.75X4.13IN ST,39/39,REXNORD / 0789351,3411v1808.10,PROD,90012876,
361,3411,Rexnord,7300666,,,,,HUB 30R HSB 2.37PO RAIN 5/8X5/16PO AC,HUB 30R HSB 2.37IN KW 5/8X5/16IN ST,37/35,REXNORD / 7300666,3411v1808.10,PROD,90012877,
361,3411,MarquipWardUnited,9113670,,,,,BLOC LEAD SCREW CARRIER 1500 (9113670),BLOCK LEAD SCREW CARRIER 1500 (9113670),38/39,MARQUIPWARDUNITED / 9113670,3411v1808.10,PROD,90012872,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,10018CHN ,,,,,CHAÎNE D'ACCOUPLEMENT TAILLE100 LIENS/18,COUPLING CHAIN SIZE 100 LINKS # 18,40/34,MARTIN SPROCKET AND GEAR CDNA  / 10018CHN ,3411v1808.10,PROD,90012819,
361,3411,SKF CANADA,1207ETN9,,,,,RLMT BILLE SELF.AL 35MMX72MMX17MM OVT C0,BRG BALL SELF.AL 35MMX72MMX17MM OPEN C0,40/39,SKF CANADA / 1207ETN9,3411v1808.10,PROD,90012862,
361,3411,NSK CANADA INC ,1217-5/8ECG ,,,,,ROULEMENT BILLES 0.625PO 1.575PO 0.472PO,BEARING BALL INS EC 0.625X1.575X0.472IN,40/39,NSK CANADA INC  / 1217-5/8ECG ,3411v1808.10,PROD,90012846,
361,3411,WC Braham,1250-9045,,,,,KIT RÉPAR CC25 CÂBLE CYL T-O-M BRAND,KIT REPAIR CC25 CABLE CYL T-O-M BRAND,36/37,WC BRAHAM / 1250-9045,3411v1808.10,PROD,90012868,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,14L075 ,,,,,POULIE COURROIE TIM ALS 20MM LA 3/4PO ,PULLEY TIMING BELT BR 20MM W 3/4IN ST,38/37,MARTIN SPROCKET AND GEAR CDNA  / 14L075 ,3411v1808.10,PROD,90012813,
361,3411,Neapco,20-9307,,,,,YOKE ALÉSAGE 1-1/2PO RN 3/8PO 14-SERIES,YOKE BR 1-1/2IN KWY 3/8IN 14-SERIES,39/35,NEAPCO / 20-9307,3411v1808.10,PROD,90012979,
361,3411,SKF CANADA,22213EK/C3,,,,,RLMT ROL SPH 65MMX120MMX31MM CON 1:12 FE,RLMT ROL SPH 65MMX120MMX31MM TAP 1:12 ST,40/40,SKF CANADA / 22213EK/C3,3411v1808.10,PROD,90012978,
361,3411,SKF CANADA,22216E,,,,,RLMT SPH ROLL SB 80MMX140MMX111MM OVT ST,BRG SPH ROLL SB 80MMX140MMX111MM OPEN ST,40/40,SKF CANADA / 22216E,3411v1808.10,PROD,90012866,
361,3411,NSK CANADA INC ,22219EAE4C3 ,,,,,ROULEMENT ROTULE SPH. 95MM 170MM 43MM AD,BEARING SPH ROLL 95MM 170MM 43MM SB,40/35,NSK CANADA INC  / 22219EAE4C3 ,3411v1808.10,PROD,90012841,
361,3411,TECKNO VALVES RS INC ,237-569 ,,,,,SOLÉNOIDE CAP ASS. 110-120VAC 50/60HZ,SOLENOID CAP ASS. 110-120VAC 50/60HZ,37/36,TECKNO VALVES RS INC  / 237-569 ,3411v1808.10,PROD,90012852,
361,3411,TIMKEN CANADA LP ,3048-8MPT-35 ,,,,,COURROIE TIMING SYNCHRO 120IN 381 DENTS,BELT TIMING SYNCHO 120IN(HTS) 381 TEETH,39/39,TIMKEN CANADA LP  / 3048-8MPT-35 ,3411v1808.10,PROD,90012855,
361,3411,NSK CANADA INC ,3212B-2RSRTNGC3 ,,,,,ROULEMENT BILLE D.ANG 60MMX110MMX36.51MM,BEARING D ROW ANG 60MMX110MMX36.512MM DS,40/40,NSK CANADA INC  / 3212B-2RSRTNGC3 ,3411v1808.10,PROD,90012833,
361,3411,PARKER,4C10-050X4,90012871,,,,FILTRE ELEMENT PNEU 4C10-050X4 PARKER F,FILTER ELEMENT PNEU 4C10-050X4 PARKER F,39/39,PARKER / 4C10-050X4,3411v1808.10,PROD,90012871,
361,3411,TECKNO VALVES RS INC ,4FC3B ,,,,,VALVE DE CTRL DÉBIT NUMATICS 1/2PO NPT,VALVE FLOW CONTROL NUMATICS 1/2IN NPT,38/37,TECKNO VALVES RS INC  / 4FC3B ,3411v1808.10,PROD,90012853,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,50BS10 7/8 ,,,,,PIGNON ALS FINI 50/5/8 CLÉ 7/8 10D AC,SPROCKET FINISHED BR 50/5/8 KW7/8 10T ST,37/40,MARTIN SPROCKET AND GEAR CDNA  / 50BS10 7/8 ,3411v1808.10,PROD,90012816,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,50BS30 7/8 ,,,,,PIGNON ALS FINI 50/5/8 CLÉ 7/8 30D AC,SPROCKET FINISHED BR 50/5/8 KW7/8 30T ST,37/40,MARTIN SPROCKET AND GEAR CDNA  / 50BS30 7/8 ,3411v1808.10,PROD,90012817,
361,3411,SKF CANADA,6006-2RS1,90015086,,,,ROULEMENT BILLE RIG 30MMX55MMX13MM DS C0,BEARING BALL DEEP G 30MMX55MMX13MM DS C0,40/40,SKF CANADA / 6006-2RS1,3411v1808.10,PROD,90012858,
361,3411,SKF CANADA,6205-2RSH,,,,,ROULEMENT BILLE RIG 25MMX52MMX15MM DS C0,BEARING BALL DEEP G 25MMX52MMX15MM DS C0,40/40,SKF CANADA / 6205-2RSH,3411v1808.10,PROD,90012977,
361,3411,NSK CANADA INC ,6205DDU ,,,,,ROULEMENT BILLES RN 25MMX52MMX15MM 2EC,BEARING BALL DEEP G 25MMX52MMX15MM 2CS,38/38,NSK CANADA INC  / 6205DDU ,3411v1808.10,PROD,90012847,
361,3411,SKF CANADA,6207-2Z,,,,,ROULEMENT BILLE RIG 35MMX72MMX17MM DS C3,BEARING BALL DEEP G 35MMX72MMX17MM DS C3,40/40,SKF CANADA / 6207-2Z,3411v1808.10,PROD,90012863,
361,3411,SKF CANADA,6305-2RS1,90001850,,,,ROULEMENT BILLE RIG 25MMX62MMX17MM DS C0,BEARING BALL DEEP G 25MMX62MMX17MM DS C0,40/40,SKF CANADA / 6305-2RS1,3411v1808.10,PROD,90012974,
361,3411,PARKER,6C15-095X2,90012870,,,,FILTRE ELEMENT PNEU 6C15-095X2 PARKER F,FILTER ELEMENT PNEU 6C15-095X2 PARKER F,39/39,PARKER / 6C15-095X2,3411v1808.10,PROD,90012870,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,8018CHN ,,,,,CHAÎNE D'ACCOUPLEMENT TAILLE/80 LIENS/18,COUPLING CHAIN SIZE 80 LINKS # 18,40/33,MARTIN SPROCKET AND GEAR CDNA  / 8018CHN ,3411v1808.10,PROD,90012818,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,8018SEAL ,,,,,ACCOUPLEMENT JOINT 8018SEAL MSG,COUPLING COVER SEAL 8018 MSG,31/28,MARTIN SPROCKET AND GEAR CDNA  / 8018SEAL ,3411v1808.10,PROD,90012826,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,80BS32215/16 ,,,,,PIGNON ALS FINI 80/1 CLÉ 2-15/16 32D AC,SPROCKET FINISHED BR 80/1 KW2-15/16 32T,39/39,MARTIN SPROCKET AND GEAR CDNA  / 80BS32215/16 ,3411v1808.10,PROD,90012824,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,80BS60215/16 ,,,,,PIGNON ALS FINI 80/1 CLÉ 2-15/16 60D AC,SPRCOKET FINISHED BR 80/1 KW2-15/16 60T,39/39,MARTIN SPROCKET AND GEAR CDNA  / 80BS60215/16 ,3411v1808.10,PROD,90012825,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,80SK16 ,,,,,PIGNON CHAÎNE DE BAGUE 40/1/2PO SK/16,SPROCKET BUSHING C 80/1/2IN SK/16 ST,37/36,MARTIN SPROCKET AND GEAR CDNA  / 80SK16 ,3411v1808.10,PROD,90012827,
361,3411,kml,99502H,,,,,ROULEMENT BILLE RIG 0.625X1.375X0.433PO,BEARING BALL DEEP G 0.625X1.375X0.433IN,39/39,KML / 99502H,3411v1808.10,PROD,90012869,
361,3411,OMRON,A4EG-BM2B041,,,,,COMMUTATEUR ACTIONNEUR 3POS 2C 2NO,SWT ENABLING GRIP  3POS 2C 2NO,34/30,OMRON / A4EG-BM2B041,3411v1808.10,PROD,90012798,
361,3411,SKF CANADA,CR13969,,,,,JOINT HUILE LÈV.S 35MMX62MMX8MM CRW1,SEAL OIL S.LIP 35MMX62MMX8MM CRW1,36/33,SKF CANADA / CR13969,3411v1808.10,PROD,90012880,
361,3411,SKF CANADA,CR534949,,,,,JOINT HUILE LÈV.D 0.94X2.44X0.31PO CRWA1,SEAL OIL D.LIP 0.945X2.44X0.315IN CRWA1,40/39,SKF CANADA / CR534949,3411v1808.10,PROD,90012879,
361,3411,SKF CANADA,CR534955,,,,,JOINT HUILE LÈV.D 1.25X2.12X0.25PO CRWA1,SEAL OIL D.LIP 1.25X2.125X0.256IN CRWA1,40/39,SKF CANADA / CR534955,3411v1808.10,PROD,90012881,
361,3411,SKF CANADA,CR99125,90012973,,,,ARBRE SL 31.75X38.1X11.125MM CR99125,SHAFT SLV 31.75X38.1X11.125MM CR99125,36/37,SKF CANADA / CR99125,3411v1808.10,PROD,90012973,
361,3411,KOYO CANADA INC,CRS-32,,,,,CAM SUIV FLAT 2.00PO W 1.25PO 0.875X2PO ,CAM FLW FLAT 2.00IN W 1.25IN 0.875X2IN,40/38,KOYO CANADA INC / CRS-32,3411v1808.10,PROD,90012860,
361,3411,KOYO CANADA INC,CRS-36,,,,,CAM SUIV FLAT 2.25PO W 1.25PO 0.875X2PO ,CAM FLW FLAT 2.25IN W 1.25IN 0.875X2IN,40/38,KOYO CANADA INC / CRS-36,3411v1808.10,PROD,90012859,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,ER-23,,,,,RLMT BILLE INS 1.43X2.83X1.68PO SS.COLL,BRG BALL INS 1.437X2.836X1.687IN SS.COLL,39/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / ER-23,3411v1808.10,PROD,90012873,
361,3411,GEMELS S R L,GE2-N1/2-DN13-PSI7250,,,,,VALVE BILLE HAUTE PRESS 1/2PO DN13 2PORT,VALVE BALL HIGH PRESS 1/2IN DN13 2WAY,40/37,GEMELS S R L / GE2-N1/2-DN13-PSI7250,3411v1808.10,PROD,90012864,
361,3411,SMC PNEUMATICS CANADA LTD,KT-VFS3100,90012856,,,,KIT RÉPAR SMC KT-VFS3100,KIT REPAIR SMC KT-VFS3100,24/25,SMC PNEUMATICS CANADA LTD / KT-VFS3100,3411v1808.10,PROD,90012856,
361,3411,TECKNO VALVES RS INC ,L22BA4520000030 ,,,,,VALVE SOLÉ 1/4PO NFPT 110-120VAC 50/60HZ,VALVE SOL. 110-120VAC 50/60HZ 1/4IN NFPT,40/40,TECKNO VALVES RS INC  / L22BA4520000030 ,3411v1808.10,PROD,90012854,
361,3411,NTN BEARING CORP OF CANADA LTD ,LM67048 ,,,,,ROULEMENT BILLES CON 1.25PO LA 0.66PO AC,BRG TAP ROLL ID 1.25IN CONE.W 0.66IN CS,40/39,NTN BEARING CORP OF CANADA LTD  / LM67048 ,3411v1808.10,PROD,90012850,
361,3411,NSK CANADA INC ,MFC1.15/16 ,,,,,ROULEMENT BILLE B4B ALS 1.9375 PO LCK SS,BEARING BALL F4B LCK SETSCREW 1.937IN S,40/39,NSK CANADA INC  / MFC1.15/16 ,3411v1808.10,PROD,90012840,
361,3411,NSK CANADA INC ,MFC2.3/4 ,,,,,ROULEMENT BILLE B4B ALS 1.750 PO LCK SS,BEARING BALL F4B LCK SETSCREW 1.750IN S,39/39,NSK CANADA INC  / MFC2.3/4 ,3411v1808.10,PROD,90012848,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,ML 100 7/8  ,,,,,ACCOUPLEMENT MACH ML100 7/8PO LCK SSCREW,COUPLING JAW HUB ML100 7/8IN LCK S.SCREW,40/40,MARTIN SPROCKET AND GEAR CDNA  / ML 100 7/8  ,3411v1808.10,PROD,90012815,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,ML0755/8 ,,,,,ACCOUPLEMENT MACH ML75 5/8PO LCK S.SCREW,COUPLING JAW HUB ML75 5/8IN LCK S.SCREW,40/39,MARTIN SPROCKET AND GEAR CDNA  / ML0755/8 ,3411v1808.10,PROD,90012822,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,ML090 X 7/8  ,,,,,ACCOUPLEMENT MACH ML90 7/8PO LCK S.SCREW,COUPLING JAW HUB ML90 7/8IN LCK S.SCREW,40/39,MARTIN SPROCKET AND GEAR CDNA  / ML090 X 7/8  ,3411v1808.10,PROD,90012820,
361,3411,NSK CANADA INC ,NP1.1/2 ,,,,,ROULEMENT BILLE UP 2B LCK S.SCREW 1.50PO,BEARING BALL PB 2B LCK SETSCREW 1.500IN,40/39,NSK CANADA INC  / NP1.1/2 ,3411v1808.10,PROD,90012838,
361,3411,NSK CANADA INC ,NP1.1/4 ,,,,,ROULEMENT BILLE UP 2B LCK S.SCREW 1.25PO,BEARING BALL PB 2B LCK SETSCREW 1.250IN,40/39,NSK CANADA INC  / NP1.1/4 ,3411v1808.10,PROD,90012836,
361,3411,NSK CANADA INC ,NP1.15/16EC,90015281,,,,ROULEMENT BILLE UP 2B EXC COLLAR 1.937PO,BEARING BALL PB 2B ECC COLLAR ID 1.937IN,40/40,NSK CANADA INC  / NP1.15/16EC,3411v1808.10,PROD,90012832,
361,3411,NSK CANADA INC ,NP2.15/16 ,,,,,ROULEMENT BILLE UP 2B LK S.SCREW 2.937PO,BEARING BALL PB 2B LCK SETSCREW 2.937IN,40/39,NSK CANADA INC  / NP2.15/16 ,3411v1808.10,PROD,90012843,
361,3411,NSK CANADA INC ,NP2.7/16DEC ,,,,,ROULEMENT BILLE UP 2B D.EXC COLL 2.937PO,BEARING BALL PB 2B D.ECC COLLAR 2.937IN,40/39,NSK CANADA INC  / NP2.7/16DEC ,3411v1808.10,PROD,90012844,
361,3411,NSK CANADA INC ,NP2EC ,,,,,ROULEMENT BILLE UP 2B EXC COLLAR 2.00PO,BEARING BALL PB 2B ECC COLLAR ID 2.00IN,39/39,NSK CANADA INC  / NP2EC ,3411v1808.10,PROD,90012834,
361,3411,NORGREN ,R07200RNEA ,,,,,REGULATEUR R07 1/4PO PTF 5-100PSI NO.GA,REGULATOR R07 1/4IN PTF 5-100PSI NO.GA,39/38,NORGREN  / R07200RNEA ,3411v1808.10,PROD,90012828,
361,3411,NSK CANADA INC ,R20ZZ ,,,,,ROULEMENT BILLE RIG 1.25X2.25X0.5IN C0,BEARING BALL DEEP G 1.25X2.25X0.5IN C0,38/38,NSK CANADA INC  / R20ZZ ,3411v1808.10,PROD,90012849,
361,3411,NORGREN ,R91W-2AK-NEN ,,,,,REGULATEUR EAU/AIR 50PSI 1.75GPM 1/4NPT,REGULATOR WATER/AIR 50PSI 1.75GPM 1/4NPT,39/40,NORGREN  / R91W-2AK-NEN ,3411v1808.10,PROD,90012829,
361,3411,Loos and Company,SC12579M1VR,,,,,CORDE FIL 302/304 AC/IO 1/8PO 7X19 100PD,ROPE WIRE 302/304 SST 1/8IN 7X19 100FT,40/38,LOOS AND COMPANY / SC12579M1VR,3411v1808.10,PROD,90012867,
361,3411,NSK CANADA INC ,SF1.3/8EC ,,,,,ROULEMENT BILLE B4B ALS 1.370 PO LCK SS,BEARING BALL FLG 2B BR 1.370IN LCK SS,39/37,NSK CANADA INC  / SF1.3/8EC ,3411v1808.10,PROD,90012831,
361,3411,NSK CANADA INC ,SF1EC ,,,,,ROULEMENT BILLE B4B ALS 1.000 PO LCK SS,BEARING BALL F4B LCK SETSCREW 1.00IN,39/36,NSK CANADA INC  / SF1EC ,3411v1808.10,PROD,90012845,
361,3411,NSK CANADA INC ,SFT1 ,,,,,ROULEMENT BILLE B2B ALS 1.000 PO LCK SS,BEARING BALL FLG 2B LCK SETSCREW 1.00IN,39/39,NSK CANADA INC  / SFT1 ,3411v1808.10,PROD,90012842,
361,3411,NSK CANADA INC ,SFT1.1/2EC ,,,,,ROULEMENT BILLE B4B ALS 1.500 PO LCK SS,BEARING BALL FLG 2B BR 1.500IN LCK SS,39/37,NSK CANADA INC  / SFT1.1/2EC ,3411v1808.10,PROD,90012830,
361,3411,NSK CANADA INC ,SFT1.7/16 ,,,,,ROULEMENT BILLE B2B ALS 1.437 PO LCK SS,BEARING BALL FLG 2B LCK SETSCREW 1.437IN,39/40,NSK CANADA INC  / SFT1.7/16 ,3411v1808.10,PROD,90012835,
361,3411,TB WOODS CANADA LTD,SH118,,,,,DOUILLE DÉCO RAPIDE SH ALS 1-1/8PO D.FE,BUSHING QCK DISC SH BR 1-1/8IN D.IRON,39/37,TB WOODS CANADA LTD / SH118,3411v1808.10,PROD,90012865,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,SHL099/100 ,,,,,INSERT ACCOU HYTREL SHL 99/100 4 PIEDS,SPIDER CPLG HYTREL SHL 099/100 4 LEGS,38/37,MARTIN SPROCKET AND GEAR CDNA  / SHL099/100 ,3411v1808.10,PROD,90012812,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,SRL075 ,,,,,INSERT ACCOU BUNA-N SRL 075 4 PIEDS,SPIDER CPLG BUNA-N SRL 075 4 LEGS,35/33,MARTIN SPROCKET AND GEAR CDNA  / SRL075 ,3411v1808.10,PROD,90012821,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,SRL090/095 ,,,,,INSERT ACCOU BUNA-N SRL 090/095 4 PIEDS,SPIDER CPLG BUNA-N SRL 090/095 4 LEGS,39/37,MARTIN SPROCKET AND GEAR CDNA  / SRL090/095 ,3411v1808.10,PROD,90012823,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,SRL099/100 ,,,,,INSERT ACCOU BUNA-N SRL 99/100 4 PIEDS,SPIDER CPLG BUNA-N SRL 099/100 4 LEGS,38/37,MARTIN SPROCKET AND GEAR CDNA  / SRL099/100 ,3411v1808.10,PROD,90012814,
361,3411,NSK CANADA INC ,ST1.3/8 ,,,,,ROULEMENT BILLES TAKE-UP LCK SS 1.375PO,BEARING BALL TAKEUP LCK SETSCREW 1.375IN,39/40,NSK CANADA INC  / ST1.3/8 ,3411v1808.10,PROD,90012839,
361,3411,NSK CANADA INC ,ST1.7/16,90015336,,,,ROULEMENT BILLES TAKE-UP LCK SS 1.437PO,BEARING BALL TAKEUP LCK SETSCREW 1.437IN,39/40,NSK CANADA INC  / ST1.7/16,3411v1808.10,PROD,90012837,
361,3411,KOYO CANADA INC,TRD-1625,,,,,RONDELLE BUTÉ AIG ROLL 1X1-9/16X0.123PO ,WASHER THRUST NDL ROLL 1X1-9/16X0.123IN,40/39,KOYO CANADA INC / TRD-1625,3411v1808.10,PROD,90012857,
361,3411,NTN BEARING CORP OF CANADA LTD ,UCP313-208D1 ,,,,,ROULEMENT BILLE UP 2B LK S.SCREW 2.559PO,BEARING BALL PB 2B LCK SETSCREW 2.559IN,40/39,NTN BEARING CORP OF CANADA LTD  / UCP313-208D1 ,3411v1808.10,PROD,90012851,
361,3411,SKF CANADA,UJ880 ,,,,,JOINT UNIVERSEL SKF UJ880,JOINT UNIVERSAL SKF UJ880,25/25,SKF CANADA / UJ880 ,3411v1808.10,PROD,90012980,
361,3411,ABB MOTORS & MECHANICAL (CANADA) INC,117074,,,,,DOUILLE SER CONIQUE 1008S ALÉSAGE 0.87PO,BUSHING TAPER LK 1008 SERIES BR 0.87 IN,40/39,ABB MOTORS & MECHANICAL (CANADA) INC / 117074,3411v1808.6,PROD,90012754,
361,3411,DEUBLIN COMPANY,1005-020-019,,,,,RACC TOURNANT 3/8-24 UNF DROITE,UNION ROTARY 3/8-24 UNF RH,31/26,DEUBLIN COMPANY / 1005-020-019,3411v1808.6,PROD,90012750,
361,3411,DAEMAR INC.,658510-DL,,,,,JOINT D'HUILE DI 65MM DE 85MM LA 10MM ,SEAL OIL DLIP 65MM ID 85MM OD 10MM W,38/36,DAEMAR INC. / 658510-DL,3411v1808.6,PROD,90012746,
361,3411,Rex manufacturind,C0352378,,U39121001,,,TRANSFO REACTEUR 3PH 480V 29.75A 50µH,TRANSFO REACTOR 3PH 480V 29.75A 50µH,37/36,REX MANUFACTURIND / C0352378,3411v1808.6,PROD,90012602,
361,3411,CHEMLINE PLASTICS LIMITED,PASW,90012737,U31251504,,,ACTUATEUR PNEU RESSORT DE RETOUR PASW,ACTUATOR PNEUMATIC SPRING RETURN PASW,37/37,CHEMLINE PLASTICS LIMITED / PASW,3411v1808.6,PROD,90012737,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,SB22220W33SS,,U31171510,,,ROULEMENT BILLE ALS DR 100MM 180MM 46MM,BEARING SPH ROLL S.B 100MM 180 MM 46 MM,39/39,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / SB22220W33SS,3411v1808.6,PROD,90012777,
361,3411,COWPER INC,YI-1S4-007,,,,,RESSORT PNEU COURSE4.9PO 2.17HZ PLQ4.1PO,SPRING AIR STK 4.9IN F 2.17HZ PLT 4.1IN,40/39,COWPER INC / YI-1S4-007,3411v1808.6,PROD,90012741,
361,3411,FAIRCHILD FOR PRECISION PNEUMATIC & MOTION CONTROL,20812,90013016,,,,BOOSTER PNEU 1:1 250PSI 45SCFM 1/4PO NPT,BOOSTER PNEU 1:1 250PSI 45SCFM 1/4IN NPT,40/40,FAIRCHILD FOR PRECISION PNEUMATIC & MOTION CONTROL / 20812,3411v1808.8,PROD,90013015,MOHAMAD
361,3411,FAIRCHILD FOR PRECISION PNEUMATIC & MOTION CONTROL,20822,,,,,BOOSTER PNEU 1:2 150PSI 45SCFM 1/4PO NPT,BOOSTER PNEU 1:2 150PSI 45SCFM 1/4IN NPT,40/40,FAIRCHILD FOR PRECISION PNEUMATIC & MOTION CONTROL / 20822,3411v1808.8,PROD,90013014,MOHAMAD
361,3411,LINE PROCESS CONTROLS INC,30242,90001041,,,,REGULATEUR 20812 134PO NPT MAX 250PSI,REGULATOR 20812 1/4IN NPT MAX 250PSI,37/36,LINE PROCESS CONTROLS INC / 30242,3411v1808.8,PROD,90013016,MOHAMAD
361,3411,FESTO INC,34347,,,,,CONNECTEUR CABLE VALVE SOLENIODE 0.5M,CABLE CONNECTOR SOLENOID VALVE 0.5M,37/35,FESTO INC / 34347,3411v1808.8,PROD,90013018,MOHAMAD
361,3411,FESTO INC,130930,,,,,RACCORD PIVOTANT COUDE 6 MM X 134 NPT,COUDE FITTING SWIVEL 6 MM X 134 NPT,37/35,FESTO INC / 130930,3411v1808.8,PROD,90013020,MOHAMAD
361,3411,FESTO INC,153003,,,,,RACCORD INSTANTANE 6 MM X 1/4 NPT,PUSH IN FITTING 6 MM X 1/4 NPT,33/30,FESTO INC / 153003,3411v1808.8,PROD,90013021,MOHAMAD
361,3411,FESTO INC,153339,,,,,RACCORD LONGUE COUDE 4 MM X M5,COUDE FITTING LONG 4 MM X M5,30/28,FESTO INC / 153339,3411v1808.8,PROD,90013022,MOHAMAD
361,3411,FESTO INC,153354,,,,,RACCORD T-INSTANTANE  4 MM X M5 X 4 MM,PUSH IN T-FITTING 4 MM X M5 X 4 MM,38/34,FESTO INC / 153354,3411v1808.8,PROD,90013023,MOHAMAD
361,3411,NEXEN GROUP INC,801448,,,,,KIT REPARATION FMCBE 625 SPLIT 203 HP/HR,KIT FACING FMCBE 625 SPLIT 203 HP/HR,40/36,NEXEN GROUP INC / 801448,3411v1808.8,PROD,90013154,MOHAMAD
361,3411,NEXEN GROUP INC,801478,,,,,KIT REP CLUTCH B-S FMCBE 38X38MM 914KWHR,KIT REP CLUTCH B-S FMCBE 38X38MM 914KWHR,40/40,NEXEN GROUP INC / 801478,3411v1808.8,PROD,90013153,MOHAMAD
361,3411,CONTITECH CANADA INC,20149684,,,,,COURROIE TIMING PD 1610MMX90MMX14MM 115D,BELT TIMING PD 1610MM X 90MM X 14MM 115T,40/40,CONTITECH CANADA INC / 20149684,3411v1808.8,PROD,90013048,MOHAMAD
361,3411,HUB CITY,0220-62064,,,,,REDUCTEUR STYLE A 10:1 RATIO ,REDUCER STYLE A 10:1 RATIO,29/26,HUB CITY / 0220-62064,3411v1808.8,PROD,90013155,MOHAMAD
361,3411,HUB CITY,0220-77667,,,,,REDUCTEUR UNIQUE WORM DV 20:1 2.63PO DC,REDUCER SINGLE WORM DV 20:1 2.63IN CD,39/37,HUB CITY / 0220-77667,3411v1808.8,PROD,90013156,MOHAMAD
361,3411,GATES CORPORATION,14MGT-2240-90,,,,,COURROIE GT 2240.026M X 90MM X 14MM 160D,BELT GT 2240.026MM X 90MM X 14MM 160T,40/37,GATES CORPORATION / 14MGT-2240-90,3411v1808.8,PROD,90013034,MOHAMAD
361,3411,GATES CORPORATION,1778-14MGT-85,,,,,COURROIE TIMING SYNCHRO 1778MMX85MMX14MM,BELT TIMING SYNCHRO 1778MM X 85MM X14 MM,40/40,GATES CORPORATION / 1778-14MGT-85,3411v1808.8,PROD,90013039,MOHAMAD
361,3411,ALBARRIE ENVIRONMENTAL SERVICES LTD,203M-ANBNA-7081,,,,,VALVE SOLENOIDE 1/4 PO NPT,VALVE SOLENOID 1/4 IN NPT,26/25,ALBARRIE ENVIRONMENTAL SERVICES LTD / 203M-ANBNA-7081,3411v1808.8,PROD,90013049,MOHAMAD
361,3411,ALBARRIE ENVIRONMENTAL SERVICES LTD,2Q3M-ANBNA-7081,,,,,VALVE SOLENOID 0-150PSI 120V 60HZ 1/8NPT,VALVE SOLENOID 0-150PSI 120V 60HZ 1/8NPT,40/40,ALBARRIE ENVIRONMENTAL SERVICES LTD / 2Q3M-ANBNA-7081,3411v1808.8,PROD,90013050,MOHAMAD
